videoName,videoNum,videoReference,audioNum,stopTime,rotation
alley_left,4,DJVVideos/alley_left,4,0,-91.026
lemonadestand_left,57,DJVVideos/lemonadestand_left,57,0,183.812
hospital_left,21,DJVVideos/hospital_left,21,0,0
gymnasium_left,35,DJVVideos/gymnasium_left,35,0,72.538
observatory_left,40,DJVVideos/observatory_left,40,0,119.459
nursery_left,55,DJVVideos/nursery_left,55,0,16.744
casino_left,14,DJVVideos/casino_left,14,0,185.639
garden_left,54,DJVVideos/garden_left,54,0,179.733
safari_right,56,DJVVideos/safari_right,56,0,-99.347
waitingroom_right,38,DJVVideos/waitingroom_right,38,0,0
cardealership_right,22,DJVVideos/cardealership_right,22,0,-40.887
postoffice_right,34,DJVVideos/postoffice_right,34,0,-164.668
campsite_right,51,DJVVideos/campsite_right,51,0,98.676
subwaycar_right,6,DJVVideos/subwaycar_right,6,0,-90.023
deck_right,45,DJVVideos/deck_right,45,0,4.709
fountain_right,18,DJVVideos/fountain_right,18,0,0
